,station,count
0,台北車站,12960836
1,市政府,6417519
2,西門,6106009
3,忠孝復興,4563330
4,中山,4461121
5,南京復興,4227032
6,BL板橋,4189796
7,新埔,4130226
8,頂溪,3868887
9,松江南京,3827510
10,忠孝敦化,3476181
11,淡水,3474830
12,古亭,3387310
13,石牌,3307995
14,忠孝新生,3274403
15,圓山,3020168
16,行天宮,2952103
17,南港展覽館,2948983
18,府中,2887732
19,士林,2875058
20,江子翠,2849372
21,景安,2796044
22,永安市場,2783951
23,公館,2746747
24,劍潭,2688489
25,台北101/世貿,2663601
26,龍山寺,2591155
27,芝山,2559899
28,大安,2512071
29,中正紀念堂,2483653
30,亞東醫院,2468180
31,大坪林,2459225
32,東門,2455733
33,南京三民,2452801
34,海山,2429423
35,民權西路,2407883
36,台大醫院,2406413
37,松山,2385827
38,台北小巨蛋,2316347
39,雙連,2243026
40,南勢角,2217259
41,善導寺,2193786
42,永春,2181682
43,國父紀念館,2151401
44,南港,2097807
45,北投,2070643
46,信義安和,2054608
47,台電大樓,1820390
48,景美,1811138
49,中山國小,1807602
50,後山埤,1771277
51,七張,1761698
52,西湖,1668341
53,港墘,1648632
54,昆陽,1584218
55,紅樹林,1459717
56,中山國中,1454177
57,蘆洲,1452585
58,永寧,1439520
59,科技大樓,1438722
60,萬芳醫院,1411508
61,新店區公所,1405710
62,關渡,1395014
63,徐匯中學,1383641
64,新店,1349899
65,三重國小,1341223
66,三民高中,1336318
67,三和國中,1333052
68,明德,1331327
69,象山,1330926
70,大橋頭,1286889
71,輔大,1276899
72,北門,1249287
73,新莊,1226263
74,六張犁,1195086
75,劍南路,1159275
76,迴龍,1156021
77,菜寮,1121567
78,台北橋,1115102
79,萬隆,1103641
80,竹圍,1088277
81,丹鳳,1053543
82,內湖,1022124
83,小南門,988209
84,大安森林公園,972114
85,頂埔,965890
86,大直,939580
87,東湖,885388
88,Y板橋,877266
89,奇岩,875708
90,土城,870396
91,葫洲,865258
92,唭哩岸,774857
93,三重,747298
94,頭前庄,644718
95,動物園,586949
96,南港軟體園區,556975
97,文德,556192
98,先嗇宮,548800
99,中和,548037
100,新北投,501563
101,木柵,478810
102,新北產業園區,474093
103,麟光,464283
104,復興崗,433490
105,松山機場,430975
106,幸福,430831
107,景平,430306
108,小碧潭,384897
109,大湖公園,376294
110,忠義,363956
111,辛亥,349658
112,中原,349230
113,板新,307924
114,秀朗橋,281505
115,新埔民生,266927
116,橋和,243017
117,萬芳社區,231522
118,十四張,135773
